DEL,VIDP,Indira Gandhi International Airport,New Delhi,1,Asia/Kolkata,true
BOM,VABB,Chhatrapati Shivaji Maharaj International Airport,Mumbai,1,Asia/Kolkata,true
BLR,VOBL,Kempegowda International Airport,Bengaluru,1,Asia/Kolkata,true
WAW,EPWA,Warsaw Chopin Airport,Warsaw,2,Europe/Warsaw,true
KRK,EPKK,John Paul II International Airport Kraków–Balice,Kraków,2,Europe/Warsaw,true
GDN,EPGD,Gdańsk Lech Wałęsa Airport,Gdańsk,2,Europe/Warsaw,true
RUH,OERK,King Khalid International Airport,Riyadh,3,Asia/Riyadh,true
JED,OEJN,King Abdulaziz International Airport,Jeddah,3,Asia/Riyadh,true
DMM,OEDF,King Fahd International Airport,Dammam,3,Asia/Riyadh,true
